,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
3653,0.9,6.7,-2.8,1000.8,47,0,16.1,13.5,29.4,36.0,Good
3654,-1.4,4.4,-8.9,1008.2,57,0,16.1,3.7,20.6,40.0,Good
3660,8.4,15,1.7,987.4,68,0.25,16.1,8.1,14.8,40.0,Good
3661,4.7,15,-2.2,998,64,0,16.1,3.9,18.3,32.0,Good
3665,0,4.4,-2.2,1002.3,-,0.51,11.1,1.7,7.6,35.0,Good
3666,0.9,2.2,-2.2,1004.3,85,0,13.8,0.4,7.6,47.0,Good
3667,-0.7,5,-4.4,1002.5,87,0,13.5,2,7.6,27.0,Good
3671,-2.3,0,-3.3,1013.3,91,0.76,11.3,2.2,9.4,21.0,Good
3672,-3.8,-1,-8,1012.9,76,0,16.1,9.3,16.5,30.0,Good
3673,-6.9,-0.6,-12.8,1013,75,0,16.1,4.6,13,35.0,Good
3677,-3.1,0,-4.4,1000.8,90,2.29,6.3,3.9,14.8,56.0,Moderate
3678,-6.1,2.2,-12.2,1006.3,90,0,15.6,0.9,7.6,76.0,Moderate
3679,-6.6,4,-13,1005.5,85,0,16.1,1.5,11.1,60.0,Moderate
3683,-5.4,2.2,-11.7,997,76,0,16.1,10,14.8,57.0,Moderate
3684,-4.2,2.2,-11.1,1001.6,80,0,15.1,6.9,14.8,39.0,Good
3685,-7.1,-1.1,-13.3,1013.7,84,0,15,0.4,7.6,61.0,Moderate
3689,-14.7,-1.7,-20,989.2,88,0,15.3,1.9,9.4,68.0,Moderate
3691,-9.2,-0.6,-20,984.2,85,0,16.1,6.7,13,60.0,Moderate
3692,-6.6,-0.6,-13.9,990.2,76,0,15.8,9.4,18.3,65.0,Moderate
3693,-11.8,-2.2,-16.1,1012.4,86,0,15.9,2.6,11.1,60.0,Moderate
3697,-10.5,-9,-11.1,1000.4,90,0.25,10.3,4.1,7.6,40.0,Good
3698,-10.5,-7.8,-16.7,1006,89,1.78,12.7,1.9,7.6,48.0,Good
3699,-7.7,-6.7,-15.6,1008.4,92,0,11.7,0,-,41.0,Good
3703,-9.3,-6.1,-15.6,998.4,85,1.27,13.7,5,11.1,34.0,Good
3704,-8.2,-6.1,-11.1,1011.1,89,0.76,12.4,2,9.4,55.0,Moderate
3705,-8.9,-6.1,-12.2,1025,87,2.79,8.2,3,14.8,40.0,Good
3709,-11.5,-7.8,-18.3,1033.4,89,1.78,10,1.9,11.1,65.0,Moderate
3710,-8.2,-4,-13,1028.4,90,2.54,7.1,0.4,5.4,49.0,Good
3711,-3.2,-1,-5,1025.4,93,4.06,9.5,1.1,7.6,72.0,Moderate
3715,-2.1,1.1,-5,991.7,96,0.51,6.4,5.4,22.2,16.0,Good
3716,-5.7,-1.7,-6.1,1007.4,86,0.51,8.2,11.7,20.6,22.0,Good
3717,-11.7,-5,-18.9,1011.7,91,1.52,9.8,3.7,11.1,56.0,Moderate
3722,-32.2,-28.9,-35.6,1023.2,72,0,13.2,0.7,5.4,145.0,Unhealthy for Sensitive Groups
3723,-30.2,-27,-32,1021.9,74,0,15.6,0.7,7.6,76.0,Moderate
3724,-23.5,-16,-28.3,1019.6,78,0,16.1,2.6,9.4,66.0,Moderate
3728,-28.9,-24.4,-31.1,1028.1,74,0,15.3,0.2,5.4,155.0,Unhealthy
3729,-28.4,-26.7,-31.1,1018.2,75,0,16.1,0,-,143.0,Unhealthy for Sensitive Groups
3730,-31.8,-26.7,-34.4,1018.7,74,0,13.4,0.2,5.4,116.0,Unhealthy for Sensitive Groups
3734,-26.7,-21.7,-36.1,1012,77,0.51,5.6,1.9,9.4,58.0,Moderate
3735,-24.9,-21,-32,1008,79,2.54,10.5,0.9,7.6,104.0,Unhealthy for Sensitive Groups
3736,-36.7,-31.7,-39,1026,-,0,16.1,1.7,9.4,103.0,Unhealthy for Sensitive Groups
3740,-30.7,-26.1,-33.3,1023.3,75,0,13.8,1.3,7.6,104.0,Unhealthy for Sensitive Groups
3741,-30.6,-26.7,-34.4,1010.2,75,0,12.9,0.4,7.6,87.0,Moderate
3742,-31.4,-26.7,-35,1012.7,78,0,15.3,0,-,101.0,Unhealthy for Sensitive Groups
3746,-25.5,-18,-31,1008.6,75,0,14.2,1.5,9.4,79.0,Moderate
3747,-28.4,-17.8,-31.7,1007.5,77,0,14.5,5.2,13,92.0,Moderate
3748,-24.7,-20,-31.7,1007.3,77,0,16.1,10.7,14.8,69.0,Moderate
3752,-13.1,-8,-18,992.6,79,1.02,16.1,8.7,13,53.0,Moderate
3753,-14.2,-7.2,-20.6,1001.3,85,2.29,14,6.9,18.3,79.0,Moderate
3754,-3.6,5,-19.4,996.1,81,0,16.1,7.6,14.8,60.0,Moderate
3755,-7.8,-3.9,-11,996.9,90,0,16.1,3.5,14.8,75.0,Moderate
3759,-10.4,-7.8,-17.2,1025.8,88,1.52,7.6,5.6,18.3,33.0,Good
3760,-10.2,-8,-16,1036.6,87,0,13,3.3,13,51.0,Moderate
3761,-14.9,-8.3,-19.4,1044.2,86,0,15.9,0,-,79.0,Moderate
3765,-26.8,-13.9,-30.6,1039.9,76,0,15.8,5,27.8,66.0,Moderate
3766,-23.6,-13.9,-30,1037.9,78,0,16.1,11.1,22.2,35.0,Good
3767,-28.2,-20.6,-32.2,1031.4,74,0,16.1,6.7,13,91.0,Moderate
3771,-33.8,-25,-37.2,1024,81,0.25,16.1,2.8,11.1,152.0,Unhealthy
3772,-36.6,-30.6,-40,1009.3,-,0,14.8,0.6,9.4,157.0,Unhealthy
3773,-37.3,-28.9,-39.4,1005.6,-,0,13.4,0.6,7.6,90.0,Moderate
3777,-26.1,-16.1,-29.4,993.2,78,0,16.1,0.6,5.4,98.0,Moderate
3778,-20.9,-18.9,-29.4,995.6,79,0,16.1,0.9,7.6,48.0,Good
3779,-16.6,-12,-19,1013.5,79,0.76,13,3.3,9.4,66.0,Moderate
3783,-20.8,-12.8,-26.1,1012,79,0,16.1,0.9,7.6,108.0,Unhealthy for Sensitive Groups
3785,-12.9,-6.7,-26.1,999.2,87,0.51,15.1,0.9,9.4,62.0,Moderate
3786,-12.6,-6.7,-18.9,999.1,85,0.76,16.1,0.7,7.6,71.0,Moderate
3787,-10.9,-8.9,-18.9,1001.2,89,0,12.9,0.7,5.4,58.0,Moderate
3791,-25.1,-15.6,-30.6,1029.6,79,0,16.1,0.4,5.4,127.0,Unhealthy for Sensitive Groups
3792,-19.6,-10,-30.6,1025.4,83,0,16.1,0,-,96.0,Moderate
