,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
5165,1.6,7.2,-1.7,1020.2,83,0,16.1,3,7.6,60.0,Moderate
5166,2.3,7.8,-2.2,1004.1,69,0,16.1,5.7,18.3,55.0,Moderate
5170,-5,-0.6,-9.4,1024.4,79,0.25,12.1,4.1,14.8,56.0,Moderate
5171,-5.2,-2.2,-9.4,1022.4,79,0,16.1,2,7.6,60.0,Moderate
5172,-4.4,0.6,-7.8,1011.7,66,0,16.1,6.9,20.6,38.0,Good
5176,-1.7,2.2,-5,1006.2,84,0,14.5,2.6,11.1,57.0,Moderate
5177,0.1,2.8,-5,1008.2,80,0,15.9,1.5,13,53.0,Moderate
5178,-2.6,2.8,-7.2,1006.7,66,0,16.1,8.5,14.8,59.0,Moderate
5182,-1.6,5,-7.8,995.9,69,0,16.1,6.3,9.4,80.0,Moderate
5183,1.2,3.3,-5.6,988.7,63,0,16.1,11.1,20.6,61.0,Moderate
5184,0.3,3.3,-3.3,992.5,65,0,16.1,11.5,22.2,75.0,Moderate
5188,-3.9,-2.2,-7.8,1015.7,83,0.76,9.8,2.6,9.4,58.0,Moderate
5189,-8.6,-2.8,-16.1,1014.6,81,0,16.1,6.1,13,95.0,Moderate
5190,-12.3,-5.6,-16.7,1016.1,78,0,16.1,1.9,9.4,111.0,Unhealthy for Sensitive Groups
5194,-11.6,-8.3,-17.2,1000.8,77,0,14.3,3.5,9.4,82.0,Moderate
5196,-13.5,-5,-17.8,996,72,0,16.1,8,13,84.0,Moderate
5197,-7.9,-4.4,-17.8,997,63,0,15.6,12,20.6,40.0,Good
5198,-8.4,-4.4,-15.6,1004,60,0,16.1,10.6,20.6,68.0,Moderate
5202,-11.9,-6.1,-17.8,1010.5,67,0,16.1,10.4,14.8,77.0,Moderate
5203,-13.2,-7.2,-16.1,1007.7,74,0,16.1,6.3,14.8,157.0,Unhealthy
5204,-12.6,-8.3,-16.1,1010.8,77,0,16.1,3,11.1,160.0,Unhealthy
5208,-6.3,3.3,-10,1020.3,80,0,16.1,2,11.1,164.0,Unhealthy
5209,-10.2,-2.2,-13.3,1020.7,79,0,16.1,1.9,9.4,165.0,Unhealthy
5210,-13.7,-5.6,-16.7,1024.9,77,0,14,0,5.4,190.0,Unhealthy
5214,-6.4,-2.8,-15,999.9,80,0,16.1,3.7,11.1,159.0,Unhealthy
5215,-10.6,-2.8,-15,1004.4,80,0,16.1,2.8,7.6,145.0,Unhealthy for Sensitive Groups
5216,-14,-4.4,-16.7,995,76,0,16.1,5,14.8,113.0,Unhealthy for Sensitive Groups
5220,-11.2,-8.3,-17.8,1016.6,77,0,10.6,1.9,7.6,81.0,Moderate
5221,-13.7,-8.3,-23.3,1031.5,78,3.05,11.6,1.7,11.1,112.0,Unhealthy for Sensitive Groups
5222,-21.1,-9.4,-24.4,1031.4,73,0,13.5,3.1,13,153.0,Unhealthy
5227,-12.3,-7.2,-21.1,1013.4,78,0.76,12.7,3.3,9.4,133.0,Unhealthy for Sensitive Groups
5228,-8.4,-5,-21.1,1002.2,80,0.25,9.2,0.9,7.6,75.0,Moderate
5229,-4.7,-3.9,-9.4,1006.4,83,9.91,4.3,1.9,7.6,62.0,Moderate
5233,-15.8,-8.9,-21.7,1007.1,74,0,16.1,10.9,14.8,57.0,Moderate
5234,-7.4,-6.1,-9.4,998.2,71,0,16.1,12,14.8,69.0,Moderate
5235,-10.4,-4.4,-17.2,986.3,69,1.27,16.1,17.6,27.8,48.0,Good
5239,-15.4,-10,-21.1,1007.1,74,0.25,15.4,1.3,9.4,135.0,Unhealthy for Sensitive Groups
5240,-14.2,-5,-21.1,1006.8,75,0,15.9,1.3,7.6,143.0,Unhealthy for Sensitive Groups
5241,-11.4,-5,-18.9,991.7,79,0,16.1,1.9,13,166.0,Unhealthy
5245,-19.2,-6.7,-23.9,996.2,76,0,11.6,2.2,9.4,176.0,Unhealthy
5246,-20.9,-15.6,-23.9,990.6,70,0,16.1,2.2,11.1,184.0,Unhealthy
5247,-16.9,-11.1,-22.8,988.3,73,0,16.1,4.1,14.8,157.0,Unhealthy
5251,-16.9,-12.8,-26.1,1004.3,75,0,16.1,0.7,7.6,153.0,Unhealthy
5252,-8.5,-5.6,-20.6,1007.7,81,1.52,7.7,3.1,11.1,63.0,Moderate
5253,-13.8,-5.6,-28.9,1025,78,6.6,11.3,4.3,11.1,115.0,Unhealthy for Sensitive Groups
5257,-2.2,-1.7,-10,1014.3,82,0,16.1,0,-,84.0,Moderate
5258,-3.8,2.8,-9.4,1024.3,86,0.51,8.2,7.8,18.3,91.0,Moderate
5259,-16.7,-1.7,-25,1028.9,75,0,16.1,8.9,20.6,80.0,Moderate
5260,-24.3,-12.2,-28.9,1035.3,72,0,15.9,3.7,18.3,164.0,Unhealthy
5264,-30.9,-25,-34.4,1033.5,64,0,16.1,1.7,11.1,169.0,Unhealthy
5265,-23.6,-12.8,-33.3,1026.9,69,0,16.1,3.3,9.4,165.0,Unhealthy
5266,-9.9,-6.1,-12.8,1014.1,77,0,16.1,1.1,7.6,99.0,Moderate
5270,-8.8,-3.3,-15,1005,81,0,16.1,9.8,14.8,72.0,Moderate
5271,-8.8,-2.2,-16.1,1005.6,81,0,16.1,6.7,13,69.0,Moderate
5272,-6.9,-2.8,-16.1,988.2,80,0,16.1,4.3,13,95.0,Moderate
5276,-15.2,-11.7,-21.7,1010.4,77,0,10.9,1.7,7.6,53.0,Moderate
5277,-20.2,-11.7,-26.1,1011.9,74,0,12.9,0.7,7.6,132.0,Unhealthy for Sensitive Groups
5278,-19.6,-15,-26.1,1002.8,72,0,12.4,0.7,7.6,78.0,Moderate
5282,-28.2,-21.1,-31.7,1013.3,68,0.76,8.5,1.5,7.6,84.0,Moderate
5283,-36.8,-27.2,-41.7,1025.5,-,0.25,8.9,2,9.4,159.0,Unhealthy
5284,-38.3,-33.3,-41.7,1024.4,-,0,8,0.6,7.6,167.0,Unhealthy
5288,-31.2,-26.1,-40.6,1044.2,65,0,12.1,0.4,5.4,152.0,Unhealthy
5290,-28.7,-22.8,-34.4,1036.1,67,0,13.7,0.7,5.4,153.0,Unhealthy
5291,-24,-13.9,-31.1,1020.5,69,0,15.9,2.8,7.6,158.0,Unhealthy
5292,-27.8,-13.9,-33.3,1022.6,69,0,14.6,1.3,7.6,138.0,Unhealthy for Sensitive Groups
5296,-34.9,-30,-40,1011,-,-,15.3,0,-,153.0,Unhealthy
5297,-35,-24.4,-41.7,1020.5,-,0,13.8,3.3,13,96.0,Moderate
5298,-33.4,-23.9,-39.4,1022.2,-,0,16.1,2.2,9.4,171.0,Unhealthy
5302,-17.6,-11.7,-22.8,1010.8,75,0,16.1,2.8,14.8,111.0,Unhealthy for Sensitive Groups
5303,-22.3,-13.9,-26.7,1013,72,0,15.8,0.6,9.4,156.0,Unhealthy
5304,-18.6,-11.1,-26.7,1023.1,72,0,15.6,0,-,117.0,Unhealthy for Sensitive Groups
5308,-11.4,-4.4,-17.8,1017.5,79,0,16.1,1.3,5.4,96.0,Moderate
5309,-14.1,-4.4,-19.4,1022.9,79,0,16.1,0.6,9.4,151.0,Unhealthy
5310,-9.8,0,-19.4,1016.8,78,0,16.1,3,14.8,131.0,Unhealthy for Sensitive Groups
5314,-4.3,1.1,-13.3,1029.8,87,0,10.5,3.7,9.4,60.0,Moderate
5315,-10.6,-0.6,-16.1,1034.6,82,0,9.5,0.9,7.6,87.0,Moderate
5316,-11.6,-4.4,-17.2,1034,80,0,16.1,2.2,9.4,85.0,Moderate
5319,-5.3,0,-15.6,1033.5,58,4.83,11.6,14.6,51.9,59.0,Moderate
5320,-11.2,0,-20.6,1030.6,54,0,16.1,8.5,16.5,81.0,Moderate
5321,-9.8,-2.2,-20.6,1015.2,67,0,16.1,4.4,9.4,70.0,Moderate
5325,-1.8,1,-3.9,1010.5,82,0,8.5,6.7,18.3,34.0,Good
5326,-5.9,0,-11,1011,77,7.11,7.7,13.1,31.7,31.0,Good
5327,-15.4,-2.2,-21.7,1019.8,75,0.76,9.2,9.4,25.9,56.0,Moderate
5331,-28.1,-17.8,-36.1,1009.2,81,0,12.9,3.7,13,74.0,Moderate
5332,-24,-19.4,-36.1,1012,70,0.25,10.8,3,7.6,68.0,Moderate
5333,-28.4,-15.6,-38.3,1017.3,89,0.25,15.8,3.5,16.5,69.0,Moderate
5337,-4.9,8.9,-17.2,1010,63,0,16.1,3,9.4,70.0,Moderate
5338,-4.1,8.9,-13.9,1009.7,68,0,16.1,2.6,9.4,55.0,Moderate
5339,-0.5,8.3,-13.9,1004.5,53,0,16.1,9.4,18.3,54.0,Moderate
5343,-4.4,6.7,-15,1007.7,59,0,16.1,7.2,13,51.0,Moderate
5344,-2.5,8.9,-15,996.1,51,0,16.1,4.3,13,57.0,Moderate
5345,1.2,11.1,-11.7,996.6,59,0,16.1,2,11.1,61.0,Moderate
5349,0.8,10.6,-8.9,1002.4,55,0,16.1,8.1,18.3,48.0,Good
5351,-1.5,4.4,-8.9,1008,67,0,16.1,2.6,14.8,41.0,Good
5352,-2.4,4.4,-8.9,1017.1,74,0,15.4,3,9.4,35.0,Good
5353,-3.3,1.7,-11.7,1025.4,77,0.25,14,5.9,14.8,18.0,Good
5357,3.7,10.6,-6.7,991.6,52,0,16.1,14.3,22.2,13.0,Good
5358,2.7,11.1,-6.1,992.7,54,0,16.1,5,20.6,31.0,Good
5359,3.1,8.3,-6.1,991,48,0,16.1,6.7,18.3,27.0,Good
5363,1.3,4.4,-2.8,1002.2,64,0.51,16.1,6.5,14.8,18.0,Good
5364,0.4,7.2,-6.7,1003.2,57,0,16.1,6.3,14.8,33.0,Good
5365,1.7,7.8,-6.7,998.1,40,0,16.1,9.1,18.3,30.0,Good
5369,9.3,13.9,-1.7,997.9,39,0,16.1,18.1,46.5,14.0,Good
5370,6.2,13.9,-1.7,1000.9,38,0,16.1,8.3,27.8,13.0,Good
5371,2.9,10.6,-1.7,1006.1,53,0,16.1,14.1,29.4,17.0,Good
5375,6.5,14.4,-2.2,1007.1,38,0,16.1,4.3,11.1,43.0,Good
5376,7.3,15.6,-1.7,1007.7,40,0,16.1,4.3,16.5,47.0,Good
5377,10.3,17.2,-0.6,1002.4,39,0,16.1,12.4,22.2,20.0,Good
5382,5.9,11.7,-1.1,1010.5,48,0,16.1,9.1,18.3,20.0,Good
5383,6.6,12.8,-1.1,1017.7,48,0,16.1,8,14.8,29.0,Good
5384,7.8,15.6,-1.1,1020.5,45,0,16.1,4.3,11.1,42.0,Good
5388,10.9,17.2,-2.2,1010.7,34,0,16.1,7,18.3,35.0,Good
5389,10.7,17.2,1.1,1007.2,44,0,16.1,7,24.1,29.0,Good
5390,12.9,20,1.1,1007.3,49,0,16.1,6.5,18.3,27.0,Good
5394,12.7,21.1,3.3,1012.5,45,0,16.1,7,16.5,17.0,Good
5395,15.6,23.3,3.9,1006.9,33,0,16.1,9.4,18.3,24.0,Good
5396,16.6,23.3,6.1,1004.8,36,0,16.1,7,14.8,59.0,Moderate
5400,16.6,24.4,6.1,1016,37,0,16.1,5.9,14.8,38.0,Good
5401,16,25,5.6,1016.3,39,0,16.1,6.3,16.5,54.0,Moderate
5402,16.9,26.1,5.6,1015.1,39,0,16.1,7,20.6,43.0,Good
5406,15.6,25,10.6,1015.2,53,0,16.1,8.1,20.6,19.0,Good
5407,17.2,22.8,10.6,1017.1,47,0.25,16.1,5.6,20.6,29.0,Good
5408,17.1,23.3,10.6,1018.8,52,0,16.1,6.7,25.9,33.0,Good
5412,15.7,23.3,7.8,1017.7,40,0,16.1,14.6,27.8,13.0,Good
5414,10.2,21.1,2.8,1012.4,55,0,14.5,11.5,24.1,14.0,Good
5415,10.2,16.7,2.8,1010.2,37,3.3,16.1,11.9,20.6,27.0,Good
5416,10.4,17.8,3.9,1002.4,41,0,16.1,15.6,25.9,29.0,Good
5420,16,18.9,13.3,1007.9,40,-,16.1,7.2,16.5,18.0,Good
5421,12.8,18.9,7.2,1010.3,62,1.02,16.1,6.1,20.6,16.0,Good
5422,13.3,18.3,5.6,1007.1,41,0,16.1,11.5,20.6,18.0,Good
5426,11.2,18.9,2.8,1034.5,53,0.25,16.1,5.7,18.3,18.0,Good
5427,15.5,25,2.8,1033.8,52,0,16.1,4.8,16.5,31.0,Good
5428,20.3,28.3,7.8,1027.3,37,0,16.1,6.3,14.8,22.0,Good
5432,21.9,28.3,11.1,1010.9,34,0,16.1,5.6,16.5,85.0,Moderate
5433,21.1,29.4,12.2,1012.9,45,0,15.6,5,14.8,58.0,Moderate
5434,20.6,28.9,13.3,1014.8,50,1.78,14.5,8.9,20.6,74.0,Moderate
5438,17.7,25,11.7,1006.9,73,0,1.9,1.3,7.6,187.0,Unhealthy
5439,17.8,26.1,11.7,1004.9,66,0,5.5,5,11.1,177.0,Unhealthy
5440,14.8,19.4,12.2,1009.4,82,3.56,3.5,5,11.1,169.0,Unhealthy
5445,15.2,21.7,12.2,1016.4,75,7.11,11.1,8.1,14.8,83.0,Moderate
5446,13.5,17.2,11.7,1013.6,87,1.02,4.2,7.8,20.6,153.0,Unhealthy
5447,14.1,20.6,8.3,1018.8,67,0.25,10.5,7,20.6,84.0,Moderate
5451,24.1,31.7,12.8,1008.6,44,0,10,10.2,22.2,235.0,Very Unhealthy
5452,16.2,28.9,12.8,1010.6,70,0,4.2,11.5,25.9,162.0,Unhealthy
5453,15.8,21.1,10,1007.4,59,0,14.6,9.1,14.8,97.0,Moderate
5457,18.3,24.4,11.1,1002.1,57,0.25,16.1,6.7,18.3,40.0,Good
5458,16.7,25,11.1,1003.9,70,0,13.7,8.3,24.1,82.0,Moderate
5459,13.7,21.1,11.1,1008,74,2.29,16.1,6.1,18.3,30.0,Good
5463,12.1,13.3,11,1019.5,89,6.1,10.9,11.5,20.6,45.0,Good
5464,13.2,18.3,11.1,1021.9,78,2.03,15,11.3,20.6,72.0,Moderate
5465,15.8,22.8,8.9,1015.3,67,0,16.1,7.2,16.5,38.0,Good
5469,19.5,25.6,10,1006.8,63,0,15.8,8.3,14.8,67.0,Moderate
5470,16.7,23.9,11.1,1003.2,71,2.29,16.1,7,27.8,58.0,Moderate
5471,15.9,21.1,11.1,1002.2,74,0,10.3,6.5,16.5,62.0,Moderate
5475,14.8,21.1,10,1017.6,77,10.92,16.1,2.4,11.1,60.0,Moderate
5477,15.4,21.1,10,1016.5,71,0,14.6,5.6,24.1,55.0,Moderate
5478,12.5,18.3,10,1020.3,82,1.78,15.9,5.4,14.8,54.0,Moderate
5479,16.2,22.2,11.1,1019.8,74,0,16.1,4.3,13,35.0,Good
5483,15.7,22.8,9.4,1011.3,55,0,16.1,7.8,14.8,60.0,Moderate
5484,16.2,22.8,9.4,1007.6,60,0,15.3,3.5,9.4,93.0,Moderate
5485,17,21.7,10,1002.3,68,0.76,13.5,8.9,16.5,59.0,Moderate
5489,11.4,14.4,7.2,1018,86,1.27,12.7,7.4,14.8,40.0,Good
5490,11.7,18.3,6.7,1020.7,79,0.25,15.3,2,9.4,16.0,Good
5491,14.3,22.8,6.7,1017.3,64,0,16.1,5.6,11.1,10.0,Good
5495,12.4,15.6,10.6,1014.7,81,9.14,15.9,13.1,20.6,5.0,Good
5496,10.9,15,8.3,1020.3,81,0.25,16.1,6.5,20.6,5.0,Good
5497,11.8,18.9,7.2,1015.5,69,0.25,16.1,4.6,11.1,10.0,Good
5501,9.9,14.4,6.1,1021.1,78,0,11.4,4.6,11.1,9.0,Good
5502,12,13.3,7.2,1011.9,93,14.99,6.4,8.9,16.5,0.0,Good
5503,10.2,13.3,7.2,1004.8,84,19.56,12.1,20.2,37,0.0,Good
5507,4.8,10,0.6,1002.5,70,0.25,15,8.3,22.2,20.0,Good
5509,6.8,11.7,0.6,1014.9,61,0,16.1,8.3,20.6,20.0,Good
5510,6,15,-1.1,1020.5,61,0,16.1,3.7,11.1,15.0,Good
5511,11.4,20.6,-1.1,1014.7,57,0,16.1,7.8,18.3,18.0,Good
5515,11.1,18.9,2.2,1012.3,59,0,16.1,3.1,9.4,8.0,Good
5516,11.6,18.3,5,1007.8,61,0,16.1,3.1,7.6,8.0,Good
5517,14.2,16.1,8.9,1003.8,62,0,16.1,0.7,5.4,34.0,Good
5521,3.3,10,0,1019,84,1.78,13.4,2.8,11.1,4.0,Good
5522,6,7.8,0,1003.1,91,15.75,9,4.1,13,8.0,Good
5523,5.8,8.3,3.9,999.2,91,8.89,7.6,4.4,13,17.0,Good
5527,5.6,8.9,3.3,997.5,76,0,14.5,8.3,16.5,8.0,Good
5528,4.4,7.8,1.1,1006.9,71,0.25,16.1,5.4,14.8,6.0,Good
5529,2.9,7.8,-0.6,1011.8,62,0,16.1,11.5,24.1,10.0,Good
5533,-0.3,6.1,-5.6,1006.8,72,0,10.1,3.3,16.5,10.0,Good
5534,-0.9,2.8,-6.7,1007.2,89,14.22,9,7,22.2,22.0,Good
5535,1.5,3.9,-6.7,1008.6,88,1.27,15,9.1,16.5,10.0,Good
5540,-1.5,0.6,-6.7,1023.4,86,2.54,12.6,9.1,18.3,19.0,Good
5541,-1.3,2.2,-6.7,1027.9,81,0,15.3,7.8,13,38.0,Good
5542,1.8,3.9,-2.8,1024,85,0,16.1,3.9,13,37.0,Good
5546,0.9,8.3,-3.9,1009.8,77,0,16.1,6.3,13,39.0,Good
5547,2.9,9.4,-3.9,1004.5,66,0,16.1,12.4,22.2,30.0,Good
5548,3.7,9.4,-1.7,994.6,59,0,16.1,15.4,24.1,33.0,Good
5552,-2.3,2.2,-6.1,997.6,77,0,16.1,3.1,7.6,61.0,Moderate
5553,-1.3,2.2,-6.1,1015.4,75,0,16.1,0.9,5.4,64.0,Moderate
5554,-2.1,7.2,-7.2,1021.7,79,0,16.1,3,11.1,76.0,Moderate
5558,0.7,8.9,-1.1,1005.4,93,0,3.2,2.6,13,42.0,Good
5559,-1.1,5,-4.4,1006.9,90,3.56,11.1,4.6,13,49.0,Good
5560,-0.2,5,-4.4,1000.4,77,0,16.1,9.6,18.3,54.0,Moderate
5564,-1.9,2.2,-5,1012.2,76,0,16.1,3,11.1,60.0,Moderate
5565,-2.4,2.8,-5,1017.4,85,0,16.1,1.3,7.6,81.0,Moderate
5566,0,2.2,-5,1010.9,-,0,16.1,2.4,9.4,72.0,Moderate
5570,-7.6,-3.9,-12.8,1010.2,85,2.79,9.8,6.5,14.8,57.0,Moderate
5572,-11.8,-6.1,-18.3,1015,87,0.25,15.1,5.6,11.1,72.0,Moderate
5573,-6,-3.3,-7.2,1009.1,87,1.52,8,4.6,9.4,54.0,Moderate
5574,-9.1,-3,-15,1009,91,5.59,13.5,3.7,11.1,86.0,Moderate
5578,-4.1,0,-5,1000.4,91,5.08,7.2,4.8,13,46.0,Good
5579,-4.4,-2.8,-6.1,1008,91,1.02,11.7,6.5,20.6,42.0,Good
5580,-4.3,-2.2,-6.7,994.4,87,0.25,9.5,4.8,16.5,55.0,Moderate
5584,-20.3,-16.1,-27.2,995.2,81,0,9.3,2,9.4,47.0,Good
5585,-16.9,-14.4,-24.4,1007,85,0.51,11.4,1.5,7.6,61.0,Moderate
5586,-24.3,-14.4,-30,1009.7,81,0,14.8,2.2,11.1,103.0,Unhealthy for Sensitive Groups
5590,-27.4,-15.6,-32.8,1018.7,78,0.25,16.1,4.6,11.1,77.0,Moderate
5591,-11.3,-7.8,-16.1,997.4,84,0,16.1,5.6,11.1,100.0,Moderate
5592,-10.1,-3.9,-14.4,993.9,87,0,12.1,4.6,16.5,63.0,Moderate
5596,-2.5,-0.6,-6.1,1010.7,94,9.14,8.2,5,13,50.0,Good
5597,-3.3,-0.6,-7.2,1003.9,94,3.56,11.4,2.6,9.4,40.0,Good
5598,-3.4,1.7,-8.3,1002.1,92,3.3,11.3,7.6,14.8,51.0,Moderate
5603,-21.7,-13.3,-24.4,999.3,79,0,16.1,3.1,14.8,147.0,Unhealthy for Sensitive Groups
5604,-13.7,-10.6,-24.4,996.9,80,0,16.1,6.3,16.5,66.0,Moderate
5605,-12.3,-10.6,-21.1,1000.3,79,-,15.6,6.1,11.1,54.0,Moderate
5609,-21.7,-17.8,-26.1,998.7,79,-,15.6,0.6,5.4,81.0,Moderate
5610,-23.1,-17.2,-26.1,995.6,82,0,16.1,8.3,16.5,85.0,Moderate
5611,-24.6,-20.6,-29.4,990.8,79,0,16.1,6.1,16.5,74.0,Moderate
5615,-19,-15.6,-24.4,1006.6,82,0,13.8,5.6,16.5,77.0,Moderate
5616,-22.6,-16.7,-26.1,1000.5,82,0,16.1,1.1,5.4,165.0,Unhealthy
5617,-18.1,-13.9,-25.6,1010.2,84,0,15.6,1.5,7.6,122.0,Unhealthy for Sensitive Groups
5621,-17.9,-15,-23.3,986.4,84,0,15.6,0,-,154.0,Unhealthy
5622,-19.3,-15,-22.2,989.4,84,0,15.9,1.3,7.6,157.0,Unhealthy
5623,-14.7,-13.9,-22.2,994.1,84,0,16.1,1.7,7.6,72.0,Moderate
5627,-27.7,-17.8,-33.9,1021.6,79,0,16.1,6.9,18.3,95.0,Moderate
5628,-20.4,-16.1,-33.9,1009.8,78,0,16.1,6.7,13,138.0,Unhealthy for Sensitive Groups
5629,-24.1,-16.1,-28.3,1008.8,81,0,15.9,2.4,7.6,153.0,Unhealthy
5633,-5.9,-2.8,-8.3,1001.8,87,0,16.1,3.1,7.6,50.0,Good
5634,-8,4.4,-17.8,1002.3,84,0.25,15.9,5.2,27.8,128.0,Unhealthy for Sensitive Groups
5635,-5.5,2.2,-17.8,992.6,76,0,16.1,8,16.5,38.0,Good
5636,-8.4,2.2,-15.6,1000.9,86,0,16.1,2.2,7.6,103.0,Unhealthy for Sensitive Groups
5640,-20.5,-13.3,-23.3,1013.8,82,0,16.1,1.7,7.6,130.0,Unhealthy for Sensitive Groups
5641,-23.2,-16.1,-26.1,1015.7,79,0,16.1,0.6,7.6,178.0,Unhealthy
5642,-22.6,-9.4,-26.1,1010.2,79,0,16.1,4.3,14.8,151.0,Unhealthy
5646,-15.2,-11.7,-21.7,1001.2,85,0,16.1,0.2,5.4,66.0,Moderate
5647,-15.4,-11.1,-23.9,1010.3,87,0,12.2,2,11.1,81.0,Moderate
5648,-24.2,-12.2,-27.2,1017.7,81,0,10.6,0.4,5.4,109.0,Unhealthy for Sensitive Groups
5652,-13.6,-12.8,-14.4,1007.4,62,0,15.9,21.5,25.9,37.0,Good
5653,-18.6,-12.8,-24.4,1012.8,72,0,16.1,11.1,16.5,64.0,Moderate
5654,-22.1,-15,-25,1011.1,79,0,16.1,9.3,13,70.0,Moderate
5658,-18.6,-12.2,-25,996.5,82,0,16.1,1.9,9.4,162.0,Unhealthy
5659,-13.4,-7.8,-22.8,986.1,86,0,16.1,1.7,7.6,151.0,Unhealthy
5660,-9.6,-3.3,-17.8,989.2,87,0,16.1,3.5,18.3,63.0,Moderate
5664,-14.3,-3.9,-20.6,1016.7,87,0,15.4,3,9.4,106.0,Unhealthy for Sensitive Groups
5666,-20.4,-12.8,-25,1015.6,82,0,16.1,2,7.6,153.0,Unhealthy
5667,-22.5,-15.6,-26.7,1017.6,81,0,16.1,2.8,9.4,156.0,Unhealthy
5668,-22.7,-15.6,-26.7,1011.4,81,0,16.1,4.3,9.4,118.0,Unhealthy for Sensitive Groups
5672,-17.4,-15,-20,1013.5,86,0,16.1,1.5,5.4,152.0,Unhealthy
5673,-17.4,-8.9,-23.3,1012.6,83,0,16.1,5.2,11.1,110.0,Unhealthy for Sensitive Groups
5674,-20.3,-8.3,-26.7,1016.5,83,0,16.1,0.9,5.4,119.0,Unhealthy for Sensitive Groups
5678,-15,-6.7,-22.2,995.9,82,0,16.1,2.6,9.4,98.0,Moderate
5679,-14.8,-6.1,-21.1,999.2,81,0,15.8,2.8,7.6,121.0,Unhealthy for Sensitive Groups
5680,-15.8,-9.4,-21.1,1002,84,0,16.1,0.7,5.4,96.0,Moderate
5684,-23.1,-12.8,-29.4,1000.9,74,0,16.1,1.9,7.6,129.0,Unhealthy for Sensitive Groups
5685,-17.9,-10,-29.4,999.8,73,0,16.1,3.3,14.8,120.0,Unhealthy for Sensitive Groups
5686,-11.8,-0.6,-23.3,1001,70,0,16.1,3.9,14.8,114.0,Unhealthy for Sensitive Groups
5690,-2.8,5.6,-11.1,997.5,68,0,16.1,5.6,18.3,57.0,Moderate
5691,-5,5.6,-12.2,999.9,84,0,16.1,8.5,22.2,41.0,Good
5692,-4.7,5,-13.3,996.8,74,0,16.1,4.6,13,33.0,Good
5696,-9.3,2.8,-18.3,1011.8,79,0,16.1,1.5,9.4,57.0,Moderate
5697,-12.3,1.7,-20.6,1015.1,75,0,16.1,2.8,7.6,80.0,Moderate
5698,-12.2,-6.1,-20.6,1011.9,80,0,16.1,0.2,5.4,88.0,Moderate
5702,-8.1,-2.2,-13.3,997.1,57,0,16.1,19.3,25.9,49.0,Good
5703,-9.1,-2.2,-13.3,997.1,61,0,16.1,15.4,25.9,44.0,Good
5704,-12.6,-5.6,-18.3,999.1,72,0,16.1,2.2,9.4,80.0,Moderate
5708,-9.6,-1.1,-17.2,997.9,75,0,14.6,3.1,14.8,63.0,Moderate
5709,-8.2,-5.6,-17.2,1001,70,0,15.9,6.1,16.5,36.0,Good
5710,-9.8,-6.7,-13.3,1007.1,71,0,15.4,4.3,11.1,43.0,Good
5714,-13.2,-7.8,-16.1,1016.3,55,0,15.1,16.7,25.9,39.0,Good
5715,-9.4,2.8,-16.7,1008.1,67,0,16.1,10,25.9,46.0,Good
5716,-2.6,3.3,-16.1,1009,59,0,16.1,11.3,22.2,30.0,Good
5720,-0.3,10,-15,1004.9,66,0,16.1,2.6,9.4,59.0,Moderate
5721,3.5,10.6,-7.2,1000.3,64,0,16.1,4.6,14.8,49.0,Good
5722,1.6,5.6,-3.3,1001.1,83,0,14,4.4,9.4,37.0,Good
5726,2.3,8.9,-4.4,1017,83,0,15.6,5,18.3,38.0,Good
5728,2.6,8.9,-0.6,1006.3,61,0,16.1,20.2,27.8,20.0,Good
5729,-2.5,4.4,-7.2,1006.6,64,0,16.1,7.8,25.9,22.0,Good
5730,0.2,6.7,-7.2,1014.4,77,0.51,11.1,5.6,13,17.0,Good
5734,4.7,12.2,-4.4,1011.2,54,0,16.1,6.1,20.6,28.0,Good
5735,3.7,12.2,-2.8,1000.8,61,0,12.6,15.6,25.9,18.0,Good
5736,3,11.1,-2.2,1007,71,1.78,16.1,7.6,18.3,24.0,Good
5740,2.4,10,-2.8,1008.6,44,0,16.1,18.1,27.8,19.0,Good
5741,2.3,8.3,-2.8,1009.4,40,0,16.1,16.3,24.1,21.0,Good
5742,3.3,11.7,-2.8,1005,44,0,16.1,15,27.8,18.0,Good
5746,5.1,13.3,-2.2,1015.5,62,0,16.1,7.6,16.5,32.0,Good
5747,6.1,15,-3.3,1017,45,0,16.1,6.9,33.5,34.0,Good
5748,9.7,16.1,-3.3,1013.5,37,0,16.1,14.6,27.8,24.0,Good
5752,12.4,19.4,-1.1,1005.3,42,0,16.1,10.9,20.6,19.0,Good
5753,10.8,19.4,3.9,1003.3,66,0.51,16.1,10.2,24.1,14.0,Good
5754,11.9,18.9,5,1003.6,54,3.81,15.9,8.5,24.1,13.0,Good
5759,9.7,16.7,-1.7,1000.9,43,0,16.1,8.3,24.1,24.0,Good
5760,9.6,17.2,1.1,1003.1,49,0,16.1,9.3,18.3,24.0,Good
5761,8.2,14.4,1.1,1005.6,75,10.67,14.5,9.4,24.1,10.0,Good
5765,9.8,16.7,3.9,1002.6,57,0,16.1,8,18.3,22.0,Good
5766,12.9,13.3,11.7,1010,52,0,16.1,15.6,22.2,15.0,Good
